Time Taken(ms), FPS
0.7139, 203.2238
0.7739, 206.1088
1.2081, 206.0265
0.7438, 206.5215
0.8524, 206.8376
0.8203, 208.897
0.8766, 208.909
0.8069, 209.8347
0.815, 211.8365
0.7354, 213.0688
0.7089, 211.2665
0.8948, 207.1311
0.7007, 205.3192
0.7303, 203.9389
0.8579, 206.8134
0.9838, 206.6146
0.7353, 207.0172
0.6983, 205.951
0.8587, 206.2646
0.815, 199.6958
0.8859, 199.7022
0.7618, 193.9063
0.7206, 190.575
0.7257, 185.7328
0.8589, 189.668
0.7331, 192.6391
0.9011, 196.6468
1.0251, 196.6084
0.6915, 195.6707
0.7044, 193.2649
0.7015, 194.0034
0.8814, 195.5369
1.1632, 198.1802
0.6907, 197.385
1.1425, 201.352
0.8316, 198.6983
0.6747, 197.1372
0.783, 202.8279
0.742, 208.0053
0.7958, 210.2889
0.7358, 211.657
0.6589, 202.9561
0.762, 204.0527
0.7793, 204.1297
0.836, 205.829
1.3, 209.0541
0.8833, 207.0879
0.7946, 207.9434
0.7876, 208.7094
0.6636, 208.536
0.7117, 211.4589
0.7494, 212.7847
0.74, 211.8968
0.7332, 213.2215
0.6795, 213.3145
0.674, 213.0964
0.731, 213.8726
0.7388, 212.1461
0.6646, 211.8088
0.6718, 211.7964
0.6855, 213.4397
0.7681, 215.7186
0.7761, 216.8552
0.7257, 220.3219
0.7483, 224.5847
0.6974, 227.7434
0.751, 232.4087
0.8446, 223.5407
0.6905, 223.0473
0.7219, 227.7408
0.7211, 230.0177
0.7675, 234.0357
0.703, 236.6361
0.6947, 239.6106
0.9229, 244.1261
0.8274, 244.9114
0.79, 247.4906
0.817, 248.5508
0.8601, 251.1017
0.7027, 251.2244
0.731, 254.0789
0.8242, 248.8481
0.7933, 248.2335
0.7224, 244.5276
0.7357, 246.0111
0.8183, 244.5585
0.6881, 241.7227
0.7197, 243.1893
0.662, 228.2578
0.7163, 227.5354
0.7531, 230.2726
0.8483, 231.185
0.724, 230.9412
0.6561, 227.4445
0.7543, 228.7765
0.6919, 228.8596
0.7393, 231.5098
0.6814, 227.7928
0.6958, 231.9476
0.7717, 230.7813
0.7352, 234.1917
0.6694, 230.7584
0.8226, 235.7272
0.6861, 232.5742
0.7712, 235.6888
0.8414, 231.6121
0.6954, 230.7509
0.6926, 234.18
0.6973, 236.2174
0.75, 238.9515
0.6947, 237.1205
0.6812, 235.8581
0.6679, 239.538
0.6775, 237.1752
0.8697, 237.102
0.6772, 234.6848
0.7319, 228.9586
0.7459, 232.199
0.6687, 229.1
0.6614, 228.092
0.7243, 228.4354
0.8495, 227.4099
0.7978, 226.9148
0.8768, 225.8409
1.0132, 225.9868
0.8222, 220.1318
0.784, 221.1514
0.9153, 216.9366
0.7074, 210.1853
0.6868, 209.494
1.4671, 207.1416
0.8965, 201.4369
0.9119, 185.9852
0.7419, 183.7042
0.7113, 181.7838
0.6945, 183.6009
0.8098, 182.6168
0.6785, 185.3719
0.7117, 184.9675
0.6876, 186.2693
0.6955, 188.4413
0.6754, 179.6824
0.6822, 182.9754
0.7803, 185.6802
0.726, 187.0594
0.8796, 189.6218
0.6917, 191.0888
0.8392, 194.3033
0.6664, 185.4712
0.7216, 186.9468
0.7217, 190.877
0.8286, 194.2182
0.8259, 197.8876
0.7819, 200.3881
0.7259, 204.2536
0.7289, 207.4957
0.7321, 211.7371
0.8249, 213.9008
0.763, 217.9733
0.7279, 219.6694
0.7516, 222.7972
