Time Taken(ms), FPS
0.3185, 88.22482
0.433, 89.65659
0.3063, 87.55408
0.2761, 86.67297
0.3785, 89.04037
0.3258, 87.65084
0.3335, 88.12891
0.2871, 88.53089
0.3437, 90.34948
0.3303, 87.80704
0.3449, 86.78952
0.3382, 86.25623
0.3018, 86.21285
0.2975, 86.64079
0.3516, 86.71525
0.3858, 87.53902
0.3588, 86.26379
0.3016, 86.36433
0.587, 88.2731
0.3314, 86.53272
0.3396, 87.21445
0.2447, 87.11044
0.3608, 88.55903
0.3129, 86.65952
0.2929, 86.51266
0.32, 88.28407
0.2816, 86.76794
0.4146, 88.66141
0.3251, 86.04172
0.3082, 86.89598
0.3217, 86.67583
0.3406, 85.68931
0.4425, 85.31906
0.332, 84.83456
0.7507, 85.38197
0.2807, 83.5619
0.3291, 83.05083
0.5345, 83.64605
0.2726, 82.4347
0.2538, 82.70127
0.3293, 84.10082
0.2719, 83.30673
0.272, 84.4813
0.2974, 83.79874
0.3111, 83.31911
0.3315, 84.26003
0.416, 83.31131
0.7241, 82.34644
0.5228, 81.56731
0.3739, 79.36249
0.586, 79.11968
0.562, 78.28204
0.5223, 75.82973
0.2621, 74.98666
0.2911, 76.55125
0.4961, 76.34479
0.3084, 76.14277
0.601, 77.21935
0.4948, 76.01702
0.3177, 75.72428
0.2425, 76.48141
0.4976, 76.51282
0.3872, 76.05398
0.4849, 76.81672
0.3939, 76.17852
0.6149, 76.42389
0.3716, 76.3245
0.3541, 75.55468
0.2724, 75.41386
0.6772, 76.03033
0.9743, 73.66547
0.4939, 72.89951
0.3233, 72.00227
0.3005, 71.34618
0.6385, 71.0372
0.3915, 69.97001
0.3106, 70.57589
0.333, 70.55465
0.4098, 69.47325
0.3159, 69.51021
0.3076, 69.96883
0.3292, 69.5551
0.3406, 69.62915
0.342, 69.4687
0.3211, 69.8738
0.3042, 69.42495
0.5554, 69.46307
0.3151, 69.27464
0.3619, 69.2662
0.3409, 68.35354
0.4625, 68.60081
0.3146, 69.52798
0.3426, 68.87096
0.3194, 68.8464
0.3656, 69.12952
0.3712, 69.43234
0.2954, 69.07409
0.3675, 69.30968
0.3321, 69.78168
0.3492, 68.79255
0.2855, 67.73827
0.2649, 68.13677
0.3584, 69.16138
0.3215, 68.43483
0.2804, 68.37982
0.3498, 68.24426
0.327, 68.61764
0.356, 68.60535
0.3088, 67.92782
0.5938, 67.96452
0.3101, 68.72889
0.4055, 68.09526
0.3838, 68.06986
0.3809, 68.37999
0.306, 66.73574
0.3932, 66.48885
0.4103, 65.73327
0.4293, 65.46895
0.3936, 64.69563
0.3759, 64.02677
0.3652, 63.46523
0.2771, 63.95525
0.3202, 64.44366
0.6447, 63.71879
0.3556, 64.13084
0.3767, 63.67537
0.3658, 63.90416
0.4151, 63.6231
0.4087, 63.92818
0.3833, 64.8432
0.2886, 64.25291
0.5196, 64.36147
0.3007, 63.9546
0.2894, 64.06033
0.5226, 63.59735
0.2996, 62.51511
0.4499, 62.65072
0.3019, 62.46803
0.2819, 63.23791
0.3155, 63.26915
0.3273, 62.76045
0.3434, 62.69415
0.3087, 61.93816
0.3839, 62.04135
0.2799, 62.04789
0.3534, 61.6933
0.2865, 60.85385
0.7042, 60.84004
0.3198, 60.43286
0.5294, 59.92437
0.276, 59.47835
0.6354, 60.16584
0.2854, 59.81944
0.3545, 59.92773
0.4758, 59.72763
0.2842, 59.08736
0.3352, 58.96145
0.3273, 58.77129
0.4489, 59.32462
0.2601, 58.95556
0.8231, 58.75622
0.276, 58.11522
0.3289, 57.92763
0.25, 57.47537
0.3146, 57.28613
0.2725, 56.70494
0.6823, 56.41828
0.2636, 56.46601
0.3448, 56.10639
0.2652, 55.55706
0.3598, 55.21835
0.2797, 54.75087
0.3279, 54.43947
0.3064, 53.92635
0.3054, 51.77926
0.3578, 50.49945
0.4519, 49.30462
0.4572, 47.17035
0.4636, 45.12391
0.2883, 43.6011
0.2854, 41.28035
0.2725, 41.6134
0.309, 42.31493
0.2652, 42.88145
0.312, 43.4811
0.2822, 43.89386
0.2967, 44.40514
0.6868, 44.64674
